"Name","amsgrad","lambda_L2","lambda_tv","avg_aug_SR_iou","avg_standard_iou"
"mild-sweep-56","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"clear-sweep-60","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"misunderstood-sweep-47","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"glowing-sweep-74","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"morning-sweep-65","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"lilac-sweep-72","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"fast-sweep-68","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"frosty-sweep-52","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"twilight-sweep-66","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"generous-sweep-43","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"zesty-sweep-70","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"usual-sweep-45","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"lucky-sweep-77","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"dandy-sweep-58","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"distinctive-sweep-75","true","14","6","0.8384905792185465","0.8290217668046524"
"cool-sweep-57","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"astral-sweep-54","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"splendid-sweep-55","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"clear-sweep-50","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"crisp-sweep-63","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"sweepy-sweep-61","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"deft-sweep-59","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"devout-sweep-78","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"solar-sweep-32","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"unique-sweep-41","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"drawn-sweep-62","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"desert-sweep-76","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"breezy-sweep-69","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"dutiful-sweep-46","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"lyric-sweep-79","true","14","6","0.8384905792185465","0.8290217668046524"
"distinctive-sweep-27","true","14","6","0.8384905792185465","0.8290217668046524"
"pleasant-sweep-64","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"stoic-sweep-51","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"proud-sweep-39","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"astral-sweep-67","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
"dainty-sweep-48","true","10.5","4.5","0.8384905792185465","0.8290217668046524"
