"Name","Runtime","Notes","State","Tags","lambda_tv","lambda_L2","lambda_L1","num_samples","decay_rate","decay_steps","learning_rate","num_iter","num_aug","aug_iou_multiple","aug_iou_single","standard_iou_multiple","standard_iou_single","max_iou","mean_iou"
"neat-sweep-42","1234","-","finished","","0.35000000000000003","0.615","0","500","0.3","60","0.001","300","100","0.8780154686910909","0.8384772363649529","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"warm-sweep-47","1234","-","finished","","0.355","0.615","0","500","0.3","60","0.001","300","100","0.8780097492838811","0.8384768413169025","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"easy-sweep-34","1259","-","finished","","0.36","0.605","0","500","0.3","60","0.001","300","100","0.8780094369532844","0.8384753241800095","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"legendary-sweep-43","1235","-","finished","","0.365","0.615","0","500","0.3","60","0.001","300","100","0.8779884506829054","0.8384733949374573","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"silver-sweep-62","1244","-","finished","","0.32","0.68","0","500","0.3","60","0.001","300","100","0.8779314805444315","0.8384633001677589","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"morning-sweep-69","1253","-","finished","","0.35000000000000003","0.65","0","500","0.3","60","0.001","300","100","0.8778858117402478","0.8384563484722478","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"lunar-sweep-34","1258","-","finished","","0.35000000000000003","0.65","0","500","0.3","60","0.001","300","100","0.8778858117402478","0.8384563484722478","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"youthful-sweep-20","1259","-","finished","","0.36","0.635","0","500","0.3","60","0.001","300","100","0.8778928285604861","0.8384546801076431","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"autumn-sweep-52","1238","-","finished","","0.145","0.93","0","500","0.3","60","0.001","300","100","0.8780616750224085","0.8384525813046017","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"visionary-sweep-54","1238","-","finished","","0.375","0.605","0","500","0.3","60","0.001","300","100","0.8779367219376916","0.838450395581714","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"usual-sweep-22","1259","-","finished","","0.34","0.665","0","500","0.3","60","0.001","300","100","0.8778582335645502","0.8384436407776411","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
"swept-sweep-27","1257","-","finished","","0.25","0.785","0","500","0.3","60","0.001","300","100","0.8779151597319976","0.8384435869759724","0.8724168970462777","0.8290217668046524","0.823355100490164","0.8370777074448837"
