"Name","Runtime","Notes","Tags","lambda_L2","lambda_tv","aug_iou_multiple","aug_iou_single","standard_iou_multiple","standard_iou_single"
"classic-sweep-65","1200","-","","1.55","0.2","0.8544150483699844","0.8115608706128179","0.8724170395571944","0.8290216085362972"
"denim-sweep-57","1215","-","","1.55","0.2","0.8544150483699844","0.8115608706128179","0.8724170395571944","0.8290216085362972"
"happy-sweep-61","1203","-","","1.55","0.2","0.8544150483699844","0.8115608706128179","0.8724170395571944","0.8290216085362972"
"lyric-sweep-48","1203","-","","1.55","0.2","0.8544150483699844","0.8115608706128179","0.8724170395571944","0.8290216085362972"
"iconic-sweep-43","1212","-","","1.5","0.2","0.8542518418539404","0.8115433282831354","0.8724170395571944","0.8290216085362972"
"polar-sweep-40","1220","-","","1.5","0.2","0.8542518418539404","0.8115433282831354","0.8724170395571944","0.8290216085362972"
"gentle-sweep-50","1212","-","","1.5","0.2","0.8542518418539404","0.8115433282831354","0.8724170395571944","0.8290216085362972"
"quiet-sweep-36","1202","-","","1.5","0.2","0.8542518418539404","0.8115433282831354","0.8724170395571944","0.8290216085362972"
"drawn-sweep-37","1202","-","","1.5","0.2","0.8542518418539404","0.8115433282831354","0.8724170395571944","0.8290216085362972"
"lively-sweep-25","1244","-","","1.5","0.25","0.8540696382691566","0.8115258859788643","0.8724170395571944","0.8290216085362972"
"logical-sweep-62","1216","-","","1.5","0.25","0.8540696382691566","0.8115258859788643","0.8724170395571944","0.8290216085362972"
"fresh-sweep-30","1197","-","","1.55","0.25","0.8542061353720526","0.811506154459183","0.8724170395571944","0.8290216085362972"
"resilient-sweep-27","1242","-","","1.55","0.30000000000000004","0.8540369115474278","0.811501790076771","0.8724170395571944","0.8290216085362972"
"silver-sweep-47","1205","-","","1.6","0.2","0.854513605909421","0.8114975421645576","0.8724170395571944","0.8290216085362972"
"autumn-sweep-23","1246","-","","1.55","0.4","0.8537676112714225","0.8114908399661119","0.8724170395571944","0.8290216085362972"
"feasible-sweep-56","1209","-","","1.5","0.15000000000000002","0.8544959936532418","0.8114823504557176","0.8724170395571944","0.8290216085362972"
"scarlet-sweep-32","1215","-","","1.4","0.25","0.8536870688103181","0.8114654424356944","0.8724170395571944","0.8290216085362972"
"flowing-sweep-35","1204","-","","1.35","0.30000000000000004","0.853341912922065","0.8114637877734067","0.8724170395571944","0.8290216085362972"
"wild-sweep-59","1208","-","","1.55","0.15000000000000002","0.8546066136517914","0.8114556633068013","0.8724170395571944","0.8290216085362972"
"fluent-sweep-49","1206","-","","1.6","0.25","0.8543139228205604","0.8114492013053282","0.8724170395571944","0.8290216085362972"
"honest-sweep-15","1244","-","","1.6","0.45","0.8537920816987368","0.8114446932061713","0.8724170395571944","0.8290216085362972"
"swept-sweep-58","1208","-","","1.3","0.25","0.8533083687755079","0.811443303171112","0.8724170395571944","0.8290216085362972"
"earthy-sweep-22","1249","-","","1.4500000000000002","0.30000000000000004","0.8536761166984588","0.8114383032616088","0.8724170395571944","0.8290216085362972"
"lunar-sweep-18","1238","-","","1.6","0.35000000000000003","0.8540404614469058","0.811435049692196","0.8724170395571944","0.8290216085362972"
"spring-sweep-21","1238","-","","1.6","0.4","0.8539254164457077","0.811434262650058","0.8724170395571944","0.8290216085362972"
"fearless-sweep-46","1212","-","","1.65","0.30000000000000004","0.8543500759125925","0.8114341456050185","0.8724170395571944","0.8290216085362972"
"robust-sweep-41","1208","-","","1.4","0.4","0.853143615175601","0.8114124785352149","0.8724170395571944","0.8290216085362972"
"celestial-sweep-19","1242","-","","1.65","0.4","0.8540783802387928","0.8113868679493881","0.8724170395571944","0.8290216085362972"
"solar-sweep-63","1212","-","","1.7000000000000002","0.30000000000000004","0.854479237571336","0.8113601118216784","0.8724170395571944","0.8290216085362972"
