"Angle","Shift_X","Shift_Y","mIoU"
"0.0","-80","-80","0.782"
"0.0","-80","-60","0.781"
"0.0","-80","-40","0.782"
"0.0","-80","-20","0.785"
"0.0","-80","0","0.787"
"0.0","-80","20","0.788"
"0.0","-80","40","0.789"
"0.0","-80","60","0.792"
"0.0","-80","80","0.789"
"0.0","-60","-80","0.785"
"0.0","-60","-60","0.782"
"0.0","-60","-40","0.783"
"0.0","-60","-20","0.785"
"0.0","-60","0","0.79"
"0.0","-60","20","0.789"
"0.0","-60","40","0.792"
"0.0","-60","60","0.792"
"0.0","-60","80","0.793"
"0.0","-40","-80","0.781"
"0.0","-40","-60","0.779"
"0.0","-40","-40","0.781"
"0.0","-40","-20","0.781"
"0.0","-40","0","0.786"
"0.0","-40","20","0.785"
"0.0","-40","40","0.79"
"0.0","-40","60","0.789"
"0.0","-40","80","0.789"
"0.0","-20","-80","0.779"
"0.0","-20","-60","0.776"
"0.0","-20","-40","0.776"
"0.0","-20","-20","0.777"
"0.0","-20","0","0.78"
"0.0","-20","20","0.783"
"0.0","-20","40","0.786"
"0.0","-20","60","0.787"
"0.0","-20","80","0.788"
"0.0","0","-80","0.775"
"0.0","0","-60","0.774"
"0.0","0","-40","0.774"
"0.0","0","-20","0.774"
"0.0","0","0","0.777"
"0.0","0","20","0.78"
"0.0","0","40","0.783"
"0.0","0","60","0.785"
"0.0","0","80","0.784"
"0.0","20","-80","0.779"
"0.0","20","-60","0.777"
"0.0","20","-40","0.777"
"0.0","20","-20","0.778"
"0.0","20","0","0.783"
"0.0","20","20","0.784"
"0.0","20","40","0.787"
"0.0","20","60","0.788"
"0.0","20","80","0.789"
"0.0","40","-80","0.775"
"0.0","40","-60","0.776"
"0.0","40","-40","0.775"
"0.0","40","-20","0.776"
"0.0","40","0","0.78"
"0.0","40","20","0.782"
"0.0","40","40","0.784"
"0.0","40","60","0.786"
"0.0","40","80","0.787"
"0.0","60","-80","0.776"
"0.0","60","-60","0.776"
"0.0","60","-40","0.777"
"0.0","60","-20","0.777"
"0.0","60","0","0.781"
"0.0","60","20","0.784"
"0.0","60","40","0.785"
"0.0","60","60","0.785"
"0.0","60","80","0.787"
"0.0","80","-80","0.777"
"0.0","80","-60","0.777"
"0.0","80","-40","0.777"
"0.0","80","-20","0.779"
"0.0","80","0","0.782"
"0.0","80","20","0.784"
"0.0","80","40","0.786"
"0.0","80","60","0.788"
"0.0","80","80","0.786"
"0.39","-80","-80","0.738"
"0.39","-80","-60","0.739"
"0.39","-80","-40","0.734"
"0.39","-80","-20","0.729"
"0.39","-80","0","0.734"
"0.39","-80","20","0.738"
"0.39","-80","40","0.737"
