"Name","Angle","Shift_X","Shift_Y","IoU"
"zesty-microwave-539","0.5","60","60","0.716"
"frosty-glade-538","0.5","60","50","0.712"
"breezy-aardvark-537","0.5","60","40","0.713"
"balmy-resonance-536","0.5","60","30","0.713"
"charmed-lion-535","0.5","60","20","0.712"
"balmy-wave-534","0.5","60","10","0.713"
"young-sponge-533","0.5","60","0","0.709"
"efficient-sound-532","0.5","50","60","0.717"
"lively-shape-531","0.5","50","50","0.712"
"breezy-aardvark-530","0.5","50","40","0.714"
"clear-sponge-529","0.5","50","30","0.716"
"legendary-plasma-528","0.5","50","20","0.713"
"dulcet-jazz-527","0.5","50","10","0.712"
"glorious-dew-526","0.5","50","0","0.71"
"classic-totem-525","0.5","40","60","0.714"
"wobbly-galaxy-524","0.5","40","50","0.713"
"still-spaceship-523","0.5","40","40","0.713"
"divine-yogurt-522","0.5","40","30","0.711"
"swift-plasma-521","0.5","40","20","0.711"
"wild-terrain-520","0.5","40","10","0.71"
"good-disco-519","0.5","40","0","0.71"
"smooth-thunder-518","0.5","30","60","0.717"
"fragrant-sound-517","0.5","30","50","0.714"
"devout-spaceship-516","0.5","30","40","0.714"
"dandy-cloud-515","0.5","30","30","0.714"
"grateful-eon-514","0.5","30","20","0.711"
"misunderstood-puddle-513","0.5","30","10","0.713"
"major-deluge-512","0.5","30","0","0.711"
"polar-sunset-511","0.5","20","60","0.716"
"cosmic-puddle-510","0.5","20","50","0.712"
"legendary-forest-509","0.5","20","40","0.711"
"dandy-disco-508","0.5","20","30","0.713"
"dazzling-fog-507","0.5","20","20","0.712"
"sunny-plasma-506","0.5","20","10","0.709"
"lilac-monkey-505","0.5","20","0","0.71"
"fresh-terrain-504","0.5","10","60","0.716"
"sunny-moon-503","0.5","10","50","0.714"
"deft-shape-502","0.5","10","40","0.714"
"valiant-moon-501","0.5","10","30","0.712"
"happy-dust-500","0.5","10","20","0.711"
"ruby-voice-499","0.5","10","10","0.711"
"grateful-firefly-498","0.5","10","0","0.707"
"absurd-brook-497","0.5","0","60","0.719"
"resilient-firefly-496","0.5","0","50","0.714"
"pretty-wildflower-495","0.5","0","40","0.715"
"different-sun-494","0.5","0","30","0.714"
"cool-glitter-493","0.5","0","20","0.711"
"amber-planet-492","0.5","0","10","0.714"
"fearless-totem-491","0.5","0","0","0.71"
"silvery-pond-490","0.4","60","60","0.738"
"woven-moon-489","0.4","60","50","0.735"
"jolly-pine-488","0.4","60","40","0.737"
"smart-lion-487","0.4","60","30","0.735"
"celestial-lion-486","0.4","60","20","0.734"
"vibrant-butterfly-485","0.4","60","10","0.736"
"avid-haze-484","0.4","60","0","0.734"
"dry-snowball-483","0.4","50","60","0.737"
"jolly-shape-482","0.4","50","50","0.737"
"worthy-puddle-481","0.4","50","40","0.736"
"valiant-puddle-480","0.4","50","30","0.735"
"lemon-forest-479","0.4","50","20","0.735"
"firm-universe-478","0.4","50","10","0.735"
"balmy-paper-477","0.4","50","0","0.733"
"dutiful-elevator-476","0.4","40","60","0.737"
"sweet-hill-475","0.4","40","50","0.737"
"zesty-meadow-474","0.4","40","40","0.736"
"solar-star-473","0.4","40","30","0.733"
"cerulean-plant-472","0.4","40","20","0.735"
"summer-sound-471","0.4","40","10","0.733"
"expert-music-470","0.4","40","0","0.731"
"vivid-blaze-469","0.4","30","60","0.736"
"eternal-universe-468","0.4","30","50","0.736"
"quiet-sound-467","0.4","30","40","0.737"
"lively-totem-466","0.4","30","30","0.734"
"peach-haze-465","0.4","30","20","0.734"
"celestial-music-464","0.4","30","10","0.734"
"drawn-grass-463","0.4","30","0","0.733"
"likely-leaf-462","0.4","20","60","0.734"
"snowy-darkness-461","0.4","20","50","0.733"
"silvery-plasma-460","0.4","20","40","0.733"
"snowy-firebrand-459","0.4","20","30","0.733"
"quiet-wave-458","0.4","20","20","0.733"
"good-blaze-457","0.4","20","10","0.731"
"fresh-mountain-456","0.4","20","0","0.731"
"misunderstood-wave-455","0.4","10","60","0.737"
"eager-shape-454","0.4","10","50","0.736"
"ethereal-glade-453","0.4","10","40","0.734"
"zesty-donkey-452","0.4","10","30","0.735"
"comic-wood-451","0.4","10","20","0.733"
"spring-wildflower-450","0.4","10","10","0.733"
"ethereal-bird-449","0.4","10","0","0.731"
"pleasant-snow-448","0.4","0","60","0.735"
"lyric-dew-447","0.4","0","50","0.737"
"skilled-waterfall-446","0.4","0","40","0.734"
"legendary-durian-445","0.4","0","30","0.731"
"copper-haze-444","0.4","0","20","0.733"
"hardy-firebrand-443","0.4","0","10","0.732"
"peachy-gorge-442","0.4","0","0","0.732"
"spring-feather-441","0.3","60","60","0.758"
"feasible-totem-440","0.3","60","50","0.76"
"fearless-durian-439","0.3","60","40","0.757"
"rare-universe-438","0.3","60","30","0.759"
"feasible-fire-437","0.3","60","20","0.755"
"cosmic-dew-436","0.3","60","10","0.757"
"deep-firebrand-435","0.3","60","0","0.758"
"ethereal-water-434","0.3","50","60","0.761"
"whole-frost-433","0.3","50","50","0.762"
"leafy-brook-432","0.3","50","40","0.761"
"spring-plasma-431","0.3","50","30","0.759"
"soft-spaceship-430","0.3","50","20","0.759"
