"Name","Angle","Shift X","Shift Y","Avg. Mean IoU"
"feasible-elevator-2","0","0","0","0.788"
"swept-tree-3","0","0","10","0.788"
"giddy-valley-4","0","0","20","0.788"
"hopeful-spaceship-5","0","0","30","0.794"
"rosy-serenity-6","0","0","40","0.79"
"firm-puddle-7","0","0","50","0.787"
"quiet-monkey-8","0","0","60","0.791"
"snowy-spaceship-9","0","10","0","0.789"
"classic-water-10","0","10","10","0.791"
"dauntless-puddle-11","0","10","20","0.79"
"noble-star-12","0","10","30","0.793"
"divine-star-13","0","10","40","0.793"
"comfy-oath-14","0","10","50","0.788"
"wandering-paper-15","0","10","60","0.795"
"vibrant-dragon-16","0","20","0","0.793"
"glamorous-paper-17","0","20","10","0.792"
"dandy-resonance-18","0","20","20","0.791"
"neat-dream-19","0","20","30","0.794"
"glorious-forest-20","0","20","40","0.794"
"vital-eon-21","0","20","50","0.792"
"swift-plasma-22","0","20","60","0.793"
"classic-lake-23","0","30","0","0.789"
"smooth-aardvark-24","0","30","10","0.793"
"fancy-thunder-25","0","30","20","0.789"
"serene-glade-26","0","30","30","0.795"
"rare-energy-27","0","30","40","0.792"
"charmed-field-28","0","30","50","0.791"
"sage-firefly-29","0","30","60","0.791"
"fanciful-surf-30","0","40","0","0.79"
"sweet-planet-31","0","40","10","0.791"
"light-gorge-32","0","40","20","0.79"
"lemon-disco-33","0","40","30","0.795"
"soft-sun-34","0","40","40","0.791"
"still-shape-35","0","40","50","0.787"
"electric-mountain-36","0","40","60","0.793"
"royal-sun-37","0","50","0","0.788"
"breezy-night-38","0","50","10","0.791"
"major-silence-39","0","50","20","0.791"
"swift-vortex-40","0","50","30","0.794"
"different-smoke-41","0","50","40","0.792"
"light-sun-42","0","50","50","0.788"
"icy-waterfall-43","0","50","60","0.791"
"magic-wood-44","0","60","0","0.792"
"jolly-flower-45","0","60","10","0.793"
"fancy-brook-46","0","60","20","0.792"
"floral-blaze-47","0","60","30","0.795"
"graceful-lion-48","0","60","40","0.792"
"hearty-water-49","0","60","50","0.79"
"youthful-wind-50","0","60","60","0.79"
"misty-sound-51","0.52","0","0","0.708"
"vital-music-52","0.52","0","10","0.708"
"visionary-water-53","0.52","0","20","0.705"
"winter-snowflake-54","0.52","0","30","0.713"
"smooth-lake-55","0.52","0","40","0.715"
"wandering-wood-56","0.52","0","50","0.71"
"tough-lion-57","0.52","0","60","0.717"
