"Name","Angle","Shift X","Shift Y","Avg. Mean IoU"
"fluent-universe-490","0.4","60","60","0.742"
"generous-dew-489","0.4","60","50","0.739"
"colorful-donkey-488","0.4","60","40","0.741"
"fine-paper-487","0.4","60","30","0.736"
"amber-star-486","0.4","60","20","0.737"
"fresh-totem-485","0.4","60","10","0.738"
"frosty-wave-484","0.4","60","0","0.735"
"rose-feather-483","0.4","50","60","0.739"
"vibrant-sponge-482","0.4","50","50","0.739"
"hardy-river-481","0.4","50","40","0.739"
"fast-morning-480","0.4","50","30","0.736"
"graceful-cosmos-479","0.4","50","20","0.735"
"astral-bee-478","0.4","50","10","0.736"
"scarlet-rain-477","0.4","50","0","0.731"
"lemon-sky-476","0.4","40","60","0.74"
"misty-forest-475","0.4","40","50","0.739"
"wobbly-glade-474","0.4","40","40","0.738"
"true-serenity-473","0.4","40","30","0.733"
"fresh-breeze-472","0.4","40","20","0.736"
"royal-snowball-471","0.4","40","10","0.733"
"confused-sky-470","0.4","40","0","0.73"
"polar-resonance-469","0.4","30","60","0.737"
"feasible-universe-468","0.4","30","50","0.736"
"cool-lion-467","0.4","30","40","0.737"
"fanciful-glade-466","0.4","30","30","0.734"
"fancy-rain-465","0.4","30","20","0.734"
"drawn-glade-464","0.4","30","10","0.734"
"major-dust-463","0.4","30","0","0.73"
"ancient-capybara-462","0.4","20","60","0.738"
"astral-valley-461","0.4","20","50","0.735"
"swift-firefly-460","0.4","20","40","0.735"
"resilient-water-459","0.4","20","30","0.735"
"lilac-monkey-458","0.4","20","20","0.734"
"solar-terrain-457","0.4","20","10","0.732"
"fresh-dust-456","0.4","20","0","0.731"
"volcanic-valley-455","0.4","10","60","0.739"
"easy-eon-454","0.4","10","50","0.738"
"breezy-oath-453","0.4","10","40","0.737"
"autumn-monkey-452","0.4","10","30","0.736"
"light-violet-451","0.4","10","20","0.734"
"polished-water-450","0.4","10","10","0.735"
"avid-river-449","0.4","10","0","0.73"
"dauntless-snowball-448","0.4","0","60","0.739"
"silvery-cosmos-447","0.4","0","50","0.739"
"fine-monkey-446","0.4","0","40","0.734"
"sleek-shape-445","0.4","0","30","0.732"
"honest-galaxy-444","0.4","0","20","0.733"
"neat-spaceship-443","0.4","0","10","0.732"
"fearless-salad-442","0.4","0","0","0.73"
"atomic-valley-441","0.3","60","60","0.763"
"toasty-dust-440","0.3","60","50","0.764"
"ancient-terrain-439","0.3","60","40","0.76"
"stoic-glitter-438","0.3","60","30","0.761"
"fiery-planet-437","0.3","60","20","0.76"
"whole-moon-436","0.3","60","10","0.761"
"distinctive-snowball-435","0.3","60","0","0.761"
"playful-water-434","0.3","50","60","0.766"
"expert-firefly-433","0.3","50","50","0.765"
"valiant-water-432","0.3","50","40","0.765"
"swift-glitter-431","0.3","50","30","0.76"
"fast-armadillo-430","0.3","50","20","0.765"
"stellar-monkey-429","0.3","50","10","0.76"
"fast-blaze-428","0.3","50","0","0.762"
"neat-butterfly-427","0.3","40","60","0.76"
"cool-paper-426","0.3","40","50","0.763"
"lemon-wind-425","0.3","40","40","0.759"
"warm-sea-424","0.3","40","30","0.76"
"lilac-terrain-423","0.3","40","20","0.759"
"atomic-serenity-422","0.3","40","10","0.757"
"easy-planet-421","0.3","40","0","0.762"
"curious-firebrand-420","0.3","30","60","0.759"
"radiant-durian-419","0.3","30","50","0.759"
"neat-pond-418","0.3","30","40","0.758"
"different-rain-417","0.3","30","30","0.756"
"effortless-rain-416","0.3","30","20","0.756"
"vocal-vortex-415","0.3","30","10","0.756"
"misunderstood-pyramid-414","0.3","30","0","0.757"
"cosmic-fire-413","0.3","20","60","0.761"
"dry-water-412","0.3","20","50","0.759"
"atomic-pond-411","0.3","20","40","0.761"
"lucky-pond-410","0.3","20","30","0.76"
"glamorous-smoke-409","0.3","20","20","0.758"
"jumping-sea-408","0.3","20","10","0.758"
"fluent-yogurt-407","0.3","20","0","0.758"
"twilight-river-406","0.3","10","60","0.758"
"curious-mountain-405","0.3","10","50","0.758"
"clean-voice-404","0.3","10","40","0.755"
"sage-totem-403","0.3","10","30","0.756"
"northern-rain-402","0.3","10","20","0.756"
"morning-sun-401","0.3","10","10","0.754"
"quiet-surf-400","0.3","10","0","0.756"
"smart-frost-399","0.3","0","60","0.76"
"stellar-wildflower-398","0.3","0","50","0.754"
"stilted-sky-397","0.3","0","40","0.758"
"polar-planet-396","0.3","0","30","0.755"
"laced-brook-395","0.3","0","20","0.757"
"rare-snowflake-394","0.3","0","10","0.753"
"jumping-darkness-393","0.3","0","0","0.755"
"fluent-valley-392","0.2","60","60","0.779"
"playful-disco-391","0.2","60","50","0.779"
"ancient-totem-390","0.2","60","40","0.78"
"worldly-surf-389","0.2","60","30","0.778"
"swift-oath-388","0.2","60","20","0.779"
"classic-blaze-387","0.2","60","10","0.775"
"divine-aardvark-386","0.2","60","0","0.775"
"glowing-butterfly-385","0.2","50","60","0.78"
"legendary-snow-384","0.2","50","50","0.78"
"tough-glitter-383","0.2","50","40","0.779"
"major-star-382","0.2","50","30","0.778"
"silvery-capybara-381","0.2","50","20","0.777"
"firm-thunder-380","0.2","50","10","0.775"
"sweet-wildflower-379","0.2","50","0","0.776"
"glowing-deluge-378","0.2","40","60","0.779"
"ethereal-paper-377","0.2","40","50","0.78"
